Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2014;Västra Götalands län;10­14;0;0
2014;Västra Götalands län;15­19;0;0
2014;Västra Götalands län;20­24;0;0
2014;Västra Götalands län;25­29;1;0
2014;Västra Götalands län;30­34;0;0
2014;Västra Götalands län;35­39;2;2
2014;Västra Götalands län;40­44;3;2
2014;Västra Götalands län;45­49;1;7
2014;Västra Götalands län;50­54;6;8
2014;Västra Götalands län;55­59;18;21
2014;Västra Götalands län;60­64;26;20
2014;Västra Götalands län;65­69;80;53
2014;Västra Götalands län;70­74;97;55
2014;Västra Götalands län;75­79;167;71
2014;Västra Götalands län;80­84;141;95
2014;Västra Götalands län;85+;238;232
2014;Värmlands län;0­4;0;0
2014;Värmlands län;5­9;0;0
2014;Värmlands län;10­14;0;0
2014;Värmlands län;15­19;0;0
2014;Värmlands län;20­24;0;0
2014;Värmlands län;25­29;0;0
2014;Värmlands län;30­34;0;0
2014;Värmlands län;35­39;0;0
2014;Värmlands län;40­44;0;0
2014;Värmlands län;45­49;2;0
2014;Värmlands län;50­54;2;2
2014;Värmlands län;55­59;7;2
2014;Värmlands län;60­64;6;7
2014;Värmlands län;65­69;21;6
2014;Värmlands län;70­74;17;12
2014;Värmlands län;75­79;15;13
2014;Värmlands län;80­84;34;19
2014;Värmlands län;85+;35;34
2014;Örebro län;0­4;0;0
2014;Örebro län;5­9;0;0
2014;Örebro län;10­14;0;0
2014;Örebro län;15­19;0;0
2014;Örebro län;20­24;0;0
2014;Örebro län;25­29;0;0
2014;Örebro län;30­34;0;0
2014;Örebro län;35­39;0;0
2014;Örebro län;40­44;1;0
2014;Örebro län;45­49;0;1
2014;Örebro län;50­54;1;0
2014;Örebro län;55­59;2;3
2014;Örebro län;60­64;9;4
2014;Örebro län;65­69;7;11
2014;Örebro län;70­74;11;5
2014;Örebro län;75­79;24;9
2014;Örebro län;80­84;21;14
2014;Örebro län;85+;32;32
2014;Västmanlands län;0­4;0;0
